2226 - 0m :2s : 226ms :     tm 26.33, hd 51.65, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 12381, eth 16219, lux 2830.74, als 5329, wh 9456, ori 0.00 0.00 0.00, gyr 0.00 0.00 0.00, lin 0.00 0.00 0.00, mag 0.00 0.00 0.00, accl 0.00 0.00 0.00, grav 0.00 0.00 0.00, xpos 0.00, ypos 0.00, head 0.00
25408 - 0m :25s : 408ms :     tm 26.16, hd 52.10, he 0, iaq , tvoc 2833, eco2 400, iaqr , h2 13937, eth 17402, lux 2793.96, als 5258, wh 9313, ori 356.56 -86.69 -3.25, gyr -0.02 -0.01 0.02, lin -0.07 0.12 0.08, mag 18.00 -5.19 26.38, accl -9.86 0.68 0.12, grav -9.79 0.56 0.03, xpos -902012.71, ypos -45997.27, head -0.03
25888 - 0m :25s : 888ms :     tm 26.16, hd 52.10, he 0, iaq , tvoc 2738, eco2 400, iaqr , h2 13948, eth 17430, lux 2795.12, als 5260, wh 9302, ori 355.88 -86.06 -3.88, gyr 0.02 0.02 0.04, lin -0.13 -0.13 0.12, mag 15.00 -3.25 32.75, accl -9.92 0.53 0.13, grav -9.78 0.66 0.01, xpos -916988.71, ypos -60973.27, head -0.06
26371 - 0m :26s : 371ms :     tm 26.16, hd 52.06, he 0, iaq , tvoc 2720, eco2 400, iaqr , h2 13952, eth 17437, lux 2801.54, als 5271, wh 9286, ori 355.44 -85.38 -175.44, gyr -0.01 -0.04 -0.03, lin -0.16 -0.39 0.06, mag 15.69 -4.06 32.75, accl -9.94 0.38 -0.03, grav -9.77 0.77 -0.09, xpos -935651.83, ypos -106464.62, head -0.08
26861 - 0m :26s : 861ms :     tm 26.13, hd 52.16, he 0, iaq , tvoc 2678, eco2 400, iaqr , h2 13963, eth 17448, lux 2809.71, als 5292, wh 9286, ori 355.56 -85.38 -4.56, gyr 0.02 0.00 -0.01, lin -0.10 0.28 -0.21, mag 15.38 -3.69 30.06, accl -9.88 1.07 -0.21, grav -9.77 0.78 0.00, xpos -947656.83, ypos -72850.62, head -0.05
27341 - 0m :27s : 341ms :     tm 26.13, hd 52.16, he 0, iaq , tvoc 2591, eco2 400, iaqr , h2 13971, eth 17453, lux 2815.55, als 5295, wh 9299, ori 355.62 -85.44 -4.50, gyr -0.00 -0.00 0.00, lin -0.05 0.11 0.19, mag 16.19 -4.38 31.56, accl -9.83 0.88 0.21, grav -9.77 0.77 0.02, xpos -953416.83, ypos -60178.62, head -0.02
27828 - 0m :27s : 828ms :     tm 26.15, hd 52.16, he 0, iaq , tvoc 2567, eco2 400, iaqr , h2 13974, eth 17466, lux 2805.63, als 5278, wh 9286, ori 355.88 -85.69 -175.62, gyr -0.00 -0.01 0.01, lin -0.07 0.03 -0.01, mag 15.06 -4.75 31.25, accl -9.89 0.83 -0.04, grav -9.77 0.73 0.00, xpos -961717.75, ypos -56621.08, head -0.03
28314 - 0m :28s : 314ms :     tm 26.15, hd 52.15, he 0, iaq , tvoc 2577, eco2 400, iaqr , h2 13977, eth 17461, lux 2809.13, als 5284, wh 9276, ori 355.88 -85.62 -4.31, gyr 0.00 0.01 0.00, lin -0.13 0.07 -0.14, mag 15.75 -4.38 30.88, accl -9.91 0.81 -0.12, grav -9.77 0.74 0.02, xpos -977070.49, ypos -48354.22, head -0.06
28796 - 0m :28s : 796ms :     tm 26.16, hd 52.19, he 0, iaq , tvoc 2540, eco2 400, iaqr , h2 13987, eth 17474, lux 2804.46, als 5276, wh 9250, ori 355.88 -85.62 -4.31, gyr -0.00 0.00 0.00, lin -0.13 0.00 -0.07, mag 15.75 -4.06 31.25, accl -9.91 0.74 -0.05, grav -9.77 0.74 0.02, xpos -992171.55, ypos -48354.22, head -0.06
29283 - 0m :29s : 283ms :     tm 26.16, hd 52.18, he 0, iaq , tvoc 2468, eco2 400, iaqr , h2 13998, eth 17494, lux 2807.96, als 5281, wh 9235, ori 355.81 -85.56 -4.38, gyr -0.01 0.00 0.00, lin -0.13 0.03 0.11, mag 16.56 -4.75 29.69, accl -9.91 0.78 0.15, grav -9.77 0.74 0.03, xpos -1007587.53, ypos -44796.69, head -0.06
29766 - 0m :29s : 766ms :     tm 26.15, hd 52.20, he 0, iaq , tvoc 2397, eco2 400, iaqr , h2 14010, eth 17504, lux 2802.13, als 5272, wh 9281, ori 356.00 -85.94 -175.94, gyr -0.07 -0.03 0.01, lin -0.23 -0.12 -0.25, mag 17.50 -4.88 27.50, accl -10.02 0.56 -0.29, grav -9.78 0.68 -0.03, xpos -1034415.77, ypos -58794.03, head -0.11
30251 - 0m :30s : 251ms :     tm 26.15, hd 52.22, he 0, iaq , tvoc 2367, eco2 400, iaqr , h2 14008, eth 17506, lux 2813.22, als 5291, wh 9252, ori 355.25 -85.50 -175.50, gyr -0.01 -0.02 -0.03, lin -0.05 0.08 0.21, mag 19.38 -5.75 27.69, accl -9.84 0.77 0.33, grav -9.77 0.76 0.00, xpos -1040296.39, ypos -49385.03, head -0.02
30740 - 0m :30s : 740ms :     tm 26.13, hd 52.16, he 0, iaq , tvoc 2392, eco2 400, iaqr , h2 14022, eth 17518, lux 2805.04, als 5277, wh 9272, ori 355.50 -85.62 -4.31, gyr 0.01 -0.03 0.01, lin -0.02 0.36 1.04, mag 18.38 -6.88 26.75, accl -9.80 1.11 1.05, grav -9.77 0.74 0.01, xpos -1042687.60, ypos -6343.25, head -0.01
